market_constraint,dayzer_constraint,pano_constraint
FEAGANSM 138 KV FEAGANSM-STONEWAL STM1,FEAGANSM_138 KV_FEA-STO:L500.Bedington-Doubs,STONEWAL 138KV - FEAGANSM 138KV (FEAGANSM 138 KV FEA-STO) L500.Bedington-Doubs
STAFFORD_230KV2104B_1_LN,FORTROBI_138 KV_FOR-WOL1:500/35.MtStorm.RSS6+U1-3 (RSS2.OOS Sctnlz F),CRANESCR 230KV - STAFFORD 230KV (STAFFORD 230 KV 2104B) 500/35.MtStorm.RSS2
SMIT APS 138 KV SMIT APS-WYLIERID 214/WYR,PETERS_138 KV_PET-UNI:SMIT APS-WYLIERID (APS),WYLIERID 138KV - SMIT APS 138KV (SMIT APS 138 KV SMI-WYL) L138.Parkview-BufaloJct-Cecil-Windsor.200 (Sctnlz)
ATLNTCDP230 KV  2161C,ATLNTCDP_230 KV_2161C:500/230.Bristers.TX1 (Sctnlz),GAINESVL 230KV - ATLNTCDP 230KV (ATLNTCDP 230 KV 2161C) 500/230.Bristers.TX1 (Sctnlz)
TUNA 138 KV TUNA-WANEETA 130-02,TUNA_138 KV_TUN-WAN:ACTUAL,TUNA-WANEETA 130-02         A  138 KV PLYMOUTH MEETING-BALA 230 LINE
BOWIE_115KVBOW-LAN6_1_LN,BOWIE_115 KV_BOW-LAN6:ACTUAL,BOWIE 115KV - LANHAM 115KV (BOWIE 115 KV BOW-LAN6) BASE
BELLSMIL230 KV  121-6T,BELLSMIL_230 KV_121-6T:ACTUAL,BELLSMIL 230KV - BELLSMIL 138KV (BELLSMIL 230 KV 121-6T) BASE
AQUASCO 230 KV  AQU-CHA2,AQUASCO_230 KV_AQU-CHA2:ACTUAL,CHALKPT 230KV - AQUASCO 230KV (AQUASCO 230 KV AQU-CHA2) BASE
CEDARCRE_T1_230AT20_XF,CEDARCRE_230 KV_AT20:ACTUAL,CEDARCRE 230KV - CEDARCRE 138KV (CEDARCRE 230 KV AT20) L230.Cartanza-Milford.23033
HAYFIEL4230 KV  241A,HAYFIEL4_230 KV_241A:L500.Clifton-Ox.561+500/230.Clifton.TX2,HAYFIEL4 230KV - VAHILLS 230KV (HAYFIEL4 230 KV 241A) L500.Clifton-Ox.561+500/230.Clifton.TX2
EDINBUR4138 KV  TX4,EDINBUR4138 KV TX3 553 LINE: ELMONT-CUNNINGHAM ELMONT TX#2,EDINBUR4138 KV  TX3 553 LINE: ELMONT-CUNNINGHAM & TX#2
MARDELA-VIENNA 6708-1 A 69 KV,MARDELA_69 KV_MAR-VIE:L230.IndianRiver-Milford.23034,MARDELA 69KV - VIENNA 69KV (MARDELA 69 KV MAR-VIE) L230.IndianRiver-Milford.23034
GUION 345/138KV L/O HORTONVILL-WHITESTOWN 345KV,16FIVE T_138 KV_16F-FIVE:WhitesTown - HortonVilliage 345kV,GUION 345KV - GUION 138KV (GUION 345 KV B1) WhitesTown - HortonVilliage 345kV
DIMMICK_138KV08D-POR1_1_LN,DIMMICK_138 KV_08D-POR1:L345.Pierce-Foster,PORTUNIO 138KV - DIMMICK 138KV (DIMMICK 138 KV 08D-POR1) L345.Pierce-Foster
FIFTHAVE138 KV  FIF-WIL1,FIFTHAVE_138 KV_FIF-WIL1:L138.Roberts-WestCampus,WILSONCS 138KV - FIFTHAVE 138KV (FIFTHAVE 138 KV FIF-WIL1) L138.Roberts-WestCampus
LLANERCH138 KV  LAN 7TR,LLANERCH_138 KV_LAN 7TR:ACTUAL,LLANERCH 138KV - LLANERCH 69KV (LLANERCH 138 KV LAN 7TR) BASE
PLEASNT 138 KV PLEASNT -STMARYS STM-PLE,PLEASNT_138 KV_STM-PLE:ACTUAL,PLEASNT 138KV - STMARYS 138KV (PLEASNT 138 KV STM-PLE) BASE
CROZET_230KV291B_1_LN,CROZET_230 KV_291B:L230.Dooms-Charlottesville.233,BARRCKRD 230KV - CROZET 230KV (CROZET 230 KV 291B) L230.Dooms-Charlottesville.233
BENTONHA-WESTSTRE           A  138 KV,BENTONHA_138 KV_BEN-WES1:L345.Cook-Segreto,BENTONHA 138KV - WESTSTRE 138KV (BENTONHA 138 KV BEN-WES1) L345.Cook-Segreto
7 STATE 345 KV 7 STATE TR82CT XFORMER,7 STATE_345 KV_TR82CT:DBL:L345.Burnham-BluIsl.17702+L345.Burnham-Calumet,7 STATE 345KV - 7 STATE 138KV (7 STATE 345 KV TR82CT) L345.Burnham-BlueIsl.17702 + 345/138.BluIsl.TR81
BIGPINET_138KVBIG-GAR_1_LN,BIGPINET_138 KV_BIG-GAR:L138.Kittanning-AllDam6,BIGPINET 138KV - GARRNJCT 138KV (BIGPINET 138 KV BIG-GAR) L138.Kittanning-AllDam6
KEENMILL230 KV  266D,KEENMILL_230 KV_266D:L230.Loudoun-CubRun-Walney-Dulles.2008,CLIFTON 230KV - KEENMILL 230KV (KEENMILL 230 KV 266D) L230.Loudoun-CubRun-Walney-Dulles.2008
SHEPLJCT138 KV  SHE-SMI,SHEPLJCT_138 KV_SHE-SMI:L500.Cabot-Keystone.5002,SMITHTON 138KV - SHEPLJCT 138KV (SHEPLJCT 138 KV SHE-SMI) L500.Cabot-Keystone.5002
COLONIAL 115 KV COL.PIPE-GLENARM1 110511,COLONIAL_115 KV_COL-GLE1:ACTUAL,COL.PIPE-GLENARM1 110511    B  115 KV Combined 3590 and 65800
CORSON 69 KV CORSON-COURT 0720,MONR AE_69 KV_MON-VINE:L138.Corson-MiddleTap-England.1403,CORSON 69KV - COURT 69KV (CORSON 69 KV COR-COU) L138.Corson-MiddleTap-England.1403
BELLSMIL138 KV  BEL-BET4,BELLSMIL_138 KV_BEL-BET4:L500.BurchesHill-PossumPoint.560,BELLSMIL 138KV - BETHESDA 138KV (BELLSMIL 138 KV BEL-BET4) L500.BurchesHill-PossumPoint.560
CLOUD_115KVCLO-KERR_1_LN,CLOUD_115 KV_CLO-KERR:L500.Cloverdale-Lexington.566,KERRDAM 115KV - CLOUD 115KV (CLOUD 115 KV CLO-KERR) BASE
FARMVILL230 KV  TX5,FARMVILL_230 KV_TX5:L500.BrunswickSwitchingStationHeritage-Wake.570,FARMVILL 230KV - FARMVILL 115KV (FARMVILL 230 KV TX5) L500.BrunswickSwitchingStationHeritage-Wake.570
ROXBOROU230 KV  ROX-WHI,ROXBOROU_230 KV_ROX-WHI:L500.Keeney-RockSprings.5025,WHITPAIN 230KV - ROXBOROU 230KV (ROXBOROU 230 KV ROX-WHI) L500.Keeney-RockSprings.5025
CLAYTNAE 69 KV CLAYTON AE-WOODSTOWN 0714,CLAYTNAE_69 KV_CLA-WOO:L69.Mickleton-ValeroTap-Paulsboro.0746,CLAYTNAE 69KV - WOODSTOW 69KV (CLAYTNAE 69 KV CLA-WOO) L69.Mickleton-ValeroTap-Paulsboro.0746
BLMNTDOM230 KV  BEL-COCH,BLMNTDOM_230 KV_BEL-COCH:L230.EvergreenMills-YarleyRidge.2209,BLMNTDOM 230KV - COCHRANM 230KV (BLMNTDOM 230 KV BEL-COCH) L230.EvergreenMills-YarleyRidge.2209
GABLESW 138 KV  GAB-TID,GABLESW_138 KV_GAB-TID:ACTUAL,TIDD_AEP 138KV - GABLESW 138KV (GABLESW 138 KV GAB-TID) BASE
REMINGTN115 KV  6A,REMINGTN_115 KV_6A:L230.Remington-RemingtonCT.2077,REMINGTN 115KV - REMNTNCT 115KV (REMINGTN 115 KV 6A) L230.Remington-RemingtonCT.2077
AMDEASTN115 KV  AMD-NORW,AMDEASTN_115 KV_AMD-NORT:L500.Hosensack-SteelCity.5032,NORTHWOO 115KV - AMDEASTN 115KV (AMDEASTN 115 KV AMD-NORW) L500.Hosensack-SteelCity.5032
MILLBROO138 KV  MIL-SIN1,MILLBROO_138 KV_MIL-SIN1:L765.Kammer-Belmont-Mountaineer+765/500.Belmont.T5,MILLBROO 138KV - SINKINGS 138KV (MILLBROO 138 KV MIL-SIN1) L765.Kammer-Belmont-Mountaineer+765/500.Belmont.T5
GLASGOW_138KVGLA-KEE_1_LN,GLASGOW_138 KV_GLA-KEE:L138.LumsPond-Reybold.13841,KEENEY 138KV - GLASGOW 138KV (GLASGOW 138 KV GLA-KEE) L138.LumsPond-Reybold.13841
DICKERSH230 KV  DIC-QUI4,DICKERSH_230 KV_DIC-QUI4:L500.BurchesHill-PossumPoint.560,DICKERSH 230KV - QUINCEOR 230KV (DICKERSH 230 KV DIC-QUI4) L500.BurchesHill-PossumPoint.560
CUBRUNDP230 KV  2008B,CUBRUNDP_230 KV_2008B:L230.Beaumead-Ashburn-PleasantView.274,CUBRUNDP 230KV - WALNEY 230KV (CUBRUNDP 230 KV 2008B) L230.Beaumead-Ashburn-PleasantView.274
COLONIAL 115 KV COL.PIPE-GLENARM1 110511,COLONIAL_115 KV_COL-GLE1:L230.Graceton-Bagley-RaphaelRoad.2313,COLONIAL 115KV - GLENARM 115KV (COLONIAL 115 KV COL-GLE1) L230.Graceton-Bagley-RaphaelRoad.2313
101 ITAS345 KV  TR82,101 ITAS_345 KV_TR82:ACTUAL,101 ITAS345 KV  TR82CT-P BASE
GRACETON_230KVGRA-MANO_1_LN,GRACETON_230 KV_GRA-MANO:L230.Graceton-Bagley-RaphaelRoad.2305,MANOR 230KV - GRACETON 230KV (GRACETON 230 KV GRA-MANO) L230.Graceton-Bagley-RaphaelRoad.2305
PLEASNTV TX3 XFORMER L 230 KV,PLEASNTV_500 KV_TX3:L230.Belmont-CochranMill-GooseCreek.2286,PLEASNTV 500KV - PLEASNTV 230KV (PLEASNTV 500 KV TX3) L230.Belmont-CochranMill-GooseCreek.2286
MIDWAYTE138 KV  MID-NAO1,NAPLNN_138 KV_NAP-MID:L138.Richland-Ridgeville-NapoleonMuni-Stryker,MIDWAYTE138 KV  MID-NAO1 L138.Richland-Ridgeville-Stryker
AQUAHAR_230KVAQU-GAR1_1_LN,AQUAHAR_230 KV_AQU-GAR1:L230.Elmont-Hanover-FourRivers.2032,AQUAHAR 230KV - GARRSNV 230KV (AQUAHAR 230 KV AQU-GAR1) L230.Elmont-Hanover-FourRivers.2032
HUNTERST 115 KV HUNTERST-LINCOLN 962,HUNTERST_230 KV_TR2:L500.Hunterstown-Conastone.5013,HUNTERST115 KV  HUN-LNJ Hunterstown-Lincoln (962) 115 kV line
HOMERCIT 345 KV HOMERCIT N.AUTO-P XFORMER,HOMERCIT_345 KV_N.AUTO-P:L345.ErieWest-Ashtabula-Perry,HOMERCIT345 KV  N.AUTO-P L345.ErieWest-Ashtabula-Perry
BRIGHTON_T1_500NO.1TR_XF,APSouth Interface:500/138.Bedington.T2&T4 + 500.Cap.2&3 (Sctnlz F),BRIGHTON 500KV - BRIGHTON 230KV (BRIGHTON 500 KV NO.1TR) 500/138.Bedington.T2&T4 + 500.Cap.2&3 (Sctnlz F)
CANALAEP_138KVCAN-GAY1_1_LN,CANALAEP_138 KV_CAN-GAY1:L345.Beatty-Cole,CANALAEP 138KV - GAY 138KV (CANALAEP 138 KV CAN-GAY1) L345.Beatty-Cole
COLONIAL 115 KV COL.PIPE-GLENARM1 110511,COLONIAL_115 KV_COL-GLE2:L500.Brighton-Conastone.5011,COLONIAL 115KV - GLENARM 115KV (COLONIAL 115 KV COL-GLE1) L500.Brighton-Conastone.5011
NDELPHOS69 KV   NDE-SDE,NDELPHOS_69 KV_NDE-SDE:L138.AllenIM-Logtown,NDELPHOS 69KV - SDELPHOS 69KV (NDELPHOS 69 KV NDE-SDE) L138.AllenIM-Logtown
METUCHEN_230KVMET-PIEH_1_LN,METUCHEN_230 KV_MET-PIEH:ACTUAL,PIERSOAV 230KV - METUCHEN 230KV (METUCHEN 230 KV MET-PIEH) BASE
TRENTON2138 KV  TRE-COL1,TRENTON2_138 KV_TRE-COL1:L345.EastBend-Terminal,COLLEGEC 138KV - TRENTON2 138KV (TRENTON2 138 KV TRE-COL1) L345.EastBend-Terminal
127 MATT 138 KV 127 MATT-6604 6604 2,127 MATT_138 KV_6603 2:L345.Bloom-DavisCreek.17907 + TR84 + L17908,6604 138KV - 127 MATT 138KV (127 MATT 138 KV 6604 2) L345.Bloom-DavisCreek.17907 + L17908 SF
BRIGHTON_T1_500NO.1TR_XF,FIVEFORK_115 KV_FIV-ROC1:L230.Graceton-Bagley-RaphaelRoad.2305,BRIGHTON 500KV - BRIGHTON 230KV (BRIGHTON 500 KV NO.1TR) L230.Graceton-Bagley-RaphaelRoad.2305
PANTEGO 115 KV  PAN-TERR,PANTEGO_115 KV_PAN-TERR:L500.Carson-Rawlings.511,TERRA 115KV - PANTEGO 115KV (PANTEGO 115 KV PAN-TERR) L500.Carson-Rawlings.511
MALISZEW_138KVMAL-HYA2_1_LN,MALISZEW_138 KV_MAL-HYA1:L138.Maliszewski-HyattCS.2,MALISZEW 138KV - HYATTCS 138KV (MALISZEW 138 KV MAL-HYA2) L138.Maliszewski-Genoa
HAMPSHIR 138 KV HAMSHIR-RIDGELEY,HAMPSHIR_138 KV_HAM-RID:ACTUAL,RIDGELEY 138KV - HAMPSHIR 138KV (HAMPSHIR 138 KV HAM-RID) L500.Dooms-Lexington.555
FARMERSV-RIDG PN RV 1048 A 115 KV,FARMERSV_115 KV_FAR-RID:L230.LewisRun-PierceBrook,FARMERSV 115KV - RIDG PN 115KV (FARMERSV 115 KV FAR-RID) L230.LewisRun-PierceBrook
DARLEYRD_69KVDAR-NAA_1_LN,DARLEYRD_69 KV_DAR-NAA:500/230.RedLion.AT51,NAAMANS 69KV - DARLEYRD 69KV (DARLEYRD 69 KV DAR-NAA) 500/230.RedLion.AT51
HOOVERSV 230 KV HOOVERSV 3 TX 1 XFORMER,HOOVERSV_230 KV_3 TX 1:ACTUAL,HOOVERSV 3 TX  1  XFORMER   H  230 KV HomerCity-Seward.2011
CENTECIN69 KV   CEN-RIC,CENTECIN_69 KV_CEN-RIC:ACTUAL,CENTECIN 69KV - RICHMOPK 69KV (CENTECIN 69 KV CEN-RIC) Jefferson-Rockport 765+Rockport Unit 1
ENGLESID69 KV   ENG-MIL1,MILLWDPL_69 KV_MIL2-MNB:ACTUAL,ENGLESID69 KV   ENG-MIL1 BASE
AXTONAEP138 KV  AXT-DAN1,AXTONAEP_138 KV_AXT-DAN1:L500.Cloverdale-Lexington.566,AXTONAEP 138KV - DANVILLE 138KV (AXTONAEP 138 KV AXT-DAN1) L500.Cloverdale-Lexington.566
VARNRAEP138 KV  VAR-WILM,VARNRAEP_138 KV_VAR-WILM:ACTUAL,VARNRAEP 138KV - WILMINGT 138KV (VARNRAEP 138 KV VAR-WILM) BASE
L69 138 KV L69-LICK,LICK_138 KV_LIC-RHO:ACTUAL,L69 138KV - LICK 138KV (L69 138 KV L69-LIC1) BASE
ASPENSLR115 KV  ASP-SHAD,ASPENSLR_115 KV_ASP-SHAD:L115.Hunterstown-TexasEastern-Gardners.991,SHADEGAP 115KV - ASPENSLR 115KV (ASPENSLR 115 KV ASP-SHAD) L115.Hunterstown-TexasEastern-Gardners.991
KAMMER2 765 KV  400,KAMMER2_765 KV_400:ACTUAL,KAMMER2 345 KV  .400-S L500.Kammer-502Jct+765/500.Kammer.200 (IROL)
ALLENJUN138 KV  ALL-ALLE,ALLENJUN_138 KV_ALL-ALLE:345/138.Bayshore.T1,ALLENJUN 138KV - ALLENMOD 138KV (ALLENJUN 138 KV ALL-ALLE) 345/138.Bayshore.T1
BIGPINET138 KV  BIG-GAR,BIGPINET_138 KV_BIG-GAR:L500.Keystone-SouthBend.5001(513),BIGPINET 138KV - GARRNJCT 138KV (BIGPINET 138 KV BIG-GAR) L500.Keystone-SouthBend.5001(513)
HAYES_FE345 KV  TR1,HAYES_FE_345 KV_TR1:L345.Beaver-WestLorain + WestLorain.WL20-WL50,HAYES_FE 345KV - HAYES_FE 138KV (HAYES_FE 345 KV TR1) L345.Beaver-WestLorain + WestLorain.WL20-WL50
CALVERT 138 KV  CAL-JAC1,CALVERT_138 KV_CAL-JAC1:345/138.Olive.T2(Sctnlz),JACKSONR 138KV - CALVERT 138KV (CALVERT 138 KV CAL-JAC1) 345/138.Olive.T2
ENTRPRIS230 KV  2186A,ENTRPRIS_230 KV_2186A:ACTUAL,SHELHORN 230KV - ENTRPRIS 230KV (ENTRPRIS 230 KV 2186A) BASE
CHESTNT_115KV1001E_1_LN,CHESTNT_115 KV_1001E:L500.BrunswickSwitchingStationHeritage-Wake.570,CHESTNT 115KV - WHITAKER 115KV (CHESTNT 115 KV 1001E) L500.BrunswickSwitchingStationHeritage-Wake.570
CHEROKE169 KV   CHE-MILT,CHEROKE1_69 KV_CHE-DAN2:L230.Columbia-Montour,CHEROKE169 KV   CHE-MILT L230.Columbia-Montour
LADYSMCT230 KV  LAD-SUMM,LADYSMCT_230 KV_LAD-SUMM:L230.Ladysmith-LadysmithCT.2089 + LadySmth.T1&T2,LADYSMCT 230KV - SUMMITDP 230KV (LADYSMCT 230 KV LAD-SUMM) L230.Ladysmith-LadysmithCT.2089 + LadySmth.T1&T2
SNOWYCRE_T1_1381_XF,SCADIZ_138 KV_T1_XF:ACTUAL,SCADIZ  138 KV  T1_XF L765.Kammer-SouthCanton + SouthCanton.T3
SPORNAEP 138 KV SPORNAEP-GAVINAEP,SPORNAEP_138 KV_SPO-GAV1:ACTUAL,LINE    138 KV  LAK-SPO1 GAVINAEP138 KV  AD      CB      OPEN    GAVINAEP138 KV  AD2     CB      OPEN    SPORNAEP138 KV  J
DOUBS_500KVDOU-GOO_1_LN,DOUBS_500 KV_DOU-GOO:L500.Loudoun-Morrisville.569,DOUBS 500KV - GOOSECRE 500KV (DOUBS 500 KV DOU-GOO) L500.Loudoun-Morrisville.569
JOHNSONM-OTTER B 138 KV,JOHNSONM_138 KV_JOH-OTT1:L138.Redeye-SmithMou,OTTER 138KV - JOHNSONM 138KV (JOHNSONM 138 KV JOH-OTT1) L138.Redeye-SmithMou
SKENTON_138KVSKE-WIL1_1_LN,SKENTON_138 KV_SKE-WIL1:L345.EastLima-FostoriaCentral,SKENTON 138KV - WILDCREE 138KV (SKENTON 138 KV SKE-WIL1) L345.EastLima-FostoriaCentral
BUTL APS 138 KV BUTL APS-KARNSCIT KC-BT,BUTL APS_138 KV_BUT-KAR:L345.HandsomeLake-Wayne,BUTL APS-KARNSCIT KC-BT     A  138 KV 345/115.ErieWest.T1
101 ITAS345 KV  TR82CT-P,101 ITAS_345 KV_TR82:ACTUAL,101 ITAS345 KV  TR82CT-P BASE
11904   138 KV  11904 5,11904_138 KV_11904 5:ACTUAL,969 ECOG 138KV - 11904 138KV (11904 138 KV 11904 5) L765.Cloverdale-JoshuaFalls
COLLIER 138 KV COLLIER-ELWYN Z-62,COLLIER_138 KV_COL-ELW2:ACTUAL,COLLIER 138KV - ELWYN 138KV (COLLIER 138 KV COL-ELW) L138.Brunot Island-Collier.Z-41
3ROCKY 115 KV 3ROCKY -BATTLEBO 123A,3ROCKY_115 KV_123A:L500.Cloverdale-Lexington.566,3ROCKY 115KV - BATTLEBO 115KV (3ROCKY 115 KV 123A) L500.Cloverdale-Lexington.566
CENTER-WESTPORT 110552 A 115 KV,CENTER_115 KV_CEN-WES2:L230.Graceton-FvFrks.110510 + 230/115.Grctn.230-1,WESTPORT 115KV - CENTER 115KV (CENTER 115 KV CEN-WES2) L230.Graceton-FvFrks.110510 + 230/115.Grctn.230-1
HAVILAND69 KV   HAV-NVA,HAVILAND_69 KV_HAV-NVA:ACTUAL,HAVILAND 69KV - NVANWERT 69KV (HAVILAND 69 KV HAV-NVA) 138/69.Haviland.T4 (Sctnlz)
SIEGFRIE_T5_2305_XF,SIEGFRIE_230 KV_4:L500.Breinigsville-Wescosville.5044,HARWOOD 230KV - SIEGFRIE 230KV (HARWOOD 230 KV HAR-SIE) L500.Breinigsville-Wescosville.5044
DUBOIS  115 KV  DUB-ROC,DUBOIS_115 KV_DUB-ROC:L230.Forest-SquabHollow,ROCKTONM 115KV - DUBOIS 115KV (DUBOIS 115 KV DUB-ROC) L230.Forest-SquabHollow
CLOVERD2765 KV  T17,CLOVERD2_765 KV_T17:765/500.Cloverdale.T14,CLOVERD2 765KV - CLOVERD2 345KV (CLOVERD2 765 KV T17) 765/500.Cloverdale.T14
WAGNER  230 KV  230-2,WAGNER_230 KV_230-2:L230.Conastone-Northwest.2310,WAGNER 230KV - WAGNER 115KV (WAGNER 230 KV 230-2) L230.Conastone-Northwest.2310
74 KEWAN-PUTN 7404,74 KEWAN_138 KV_KEW-PUTN:L138.Corbin-CrescentRidge.98105,74 KEWAN 138KV - PUTN 138KV (74 KEWAN 138 KV KEW-PUTN) L138.Corbin-CrescentRidge.98105
LEEAEP_138KVLEE-ROSE_1_LN,LEEAEP_138 KV_LEE-ROSE:ACTUAL,LEEAEP 138KV - ROSEWOOD 138KV (LEEAEP 138 KV LEE-ROSE) BASE
YORKANA 230 KV  BANK 1,YORKANA_230 KV_BANK 1:L230.Jackson-TMI.1051,YORKANA 230KV - YORKANA 115KV (YORKANA 230 KV BANK 1) L230.Jackson-TMI.1051
NWLIMA  138 KV  NWL-WOO1,NWLIMA_138 KV_NWL-WOO1:L345.EastLima-SouthWestLima,NWLIMA 138KV - WOODLAWN 138KV (NWLIMA 138 KV NWL-WOO1) L345.EastLima-SouthWestLima
HOMEDEPT138 KV  HOM-LEM,HOMEDEPT_138 KV_HOM-LEM:L345.Dowling-Lemoyne,LEMOYNE2 138KV - HOMEDEPT 138KV (HOMEDEPT 138 KV HOM-LEM) L345.Dowling-Lemoyne
AQUEDUCT 230 KV AQUEDUCT-DICKERSH 23101,AQUEDUCT_230 KV_AQU-DIC:L500.Doubs-GooseCreek.514,AQUEDUCT 230KV - DICKERSH 230KV (AQUEDUCT 230 KV AQU-DIC) L500.Doubs-GooseCreek.514
DUBOIS  115 KV  DUB-ROC,DUBOIS_115 KV_DUB-ROC:L230.Elko-Shawville,ROCKTONM 115KV - DUBOIS 115KV (DUBOIS 115 KV DUB-ROC) L230.Elko-Shawville
BUTL APS 138 KV BUTL APS-KARNSCIT KC-BT,BUTL APS_138 KV_BUT-KAR:L500.Cabot-Cranberry,BUTL APS-KARNSCIT KC-BT     A  138 KV MAXCR: 500/230.Keystone.T4 + U1 + U2 + 5003 + 5004
SNOWYCRE138 KV  SNO-SNOW,SNOWYCRE_138 KV_SNO-SNOW:L138.SulphurCity-ParrRun,SNOWYTAP 138KV - SNOWYCRE 138KV (SNOWYCRE 138 KV SNO-SNOW) L138.SulphurCity-ParrRun
WHITAKER115 KV  1001B,WHITAKER_115 KV_1001B:L230.Earleys-NHampton-Carolina.2012,WHITAKER 115KV - CONSLDSL 115KV (WHITAKER 115 KV 1001B) L230.Earleys-NHampton-Carolina.2012
AQUAHAR_230KVAQU-GAR1_1_LN,AQUAHAR_230 KV_AQU-GAR1:L500.Doubs-GooseCreek.514,AQUAHAR 230KV - GARRSNV 230KV (AQUAHAR 230 KV AQU-GAR1) L500.Doubs-GooseCreek.514
TRENTON2_138KVTRE-COL1_1_LN,TRENTON2_138 KV_TRE-COL1:ACTUAL,COLLEGEC 138KV - TRENTON2 138KV (TRENTON2 138 KV TRE-COL1) L765.Maliszewski-Marysville
CUTHBERT230 KV  CUT-GLOC,CUTHBERT_230 KV_CUT-GLOC:ACTUAL,GLOUCEST 230KV - CUTHBERT 230KV (CUTHBERT 230 KV CUT-GLOC) BASE
SNOWYCRE138 KV  SNO-SNOW,SNOWYCRE_138 KV_SNO-SNOW:L138.Junction-ParrRun.AJ-4,SNOWYTAP 138KV - SNOWYCRE 138KV (SNOWYCRE 138 KV SNO-SNOW) L138.Junction-ParrRun.AJ-4
SMITHST_115KVSMI-ZIO_1_LN,SMITHST_115 KV_SMI-ZIO:230/115.Yorkana.T3,ZIONSVIE 115KV - SMITHST 115KV (SMITHST 115 KV SMI-ZIO) 230/115.Yorkana.T3
MIDDLJCT 115 KV MIDDLJCT-YORKHAVE 977-1,MIDDLJCT_115 KV_MID-YOR8:Smith Jct. 115 kV line (WestGate-SmithSt-YorkInc),MIDDLJCT 115KV - YORKHAVE 115KV (MIDDLJCT 115 KV MID-YOR7) L115.WestGate-SmithJct-YorkInc.967
CANALAEP138 KV  CAN-MOU1,CANALAEP_138 KV_CAN-MOU1:L138.Beatty-McComb,MOUND 138KV - CANALAEP 138KV (CANALAEP 138 KV CAN-MOU1) L138.Beatty-McComb
GWYNNBRO115 KV  GWY-MAY8,GWYNNBRO_115 KV_GWY-MAY8:L230.Graceton-Bagley-RaphaelRoad.2313,GWYNNBRO 115KV - MAYSCHAP 115KV (GWYNNBRO 115 KV GWY-MAY8) L230.Graceton-Bagley-RaphaelRoad.2313
HOOVERSV 115 KV HOOVERSV-TOWER51 H1H2 1071,HOOVERSV_115 KV_HOO-TOW:L500.Conemaugh-Keystone.5003,TOWER51 115KV - HOOVERSV 115KV (HOOVERSV 115 KV HOO-TOW) L500.Conemaugh-Keystone.5003
DOUBS_500KVDOU-GOO_1_LN,DANVILLE_138 KV_DAN-EDA1:L500.Midlothian-NorthAnna.576,DOUBS 500KV - GOOSECRE 500KV (DOUBS 500 KV DOU-GOO) L500.Midlothian-NorthAnna.576
AMOS 345 KV AMOS 7-P XFORMER,AMOS_345 KV_AMO-KAN1:L765.Kammer-Belmont-Mountaineer+765/500.Belmont.T5,AMOS 345KV - AMOS 1KV (AMOS 345 KV 7-P) TempDBL.L345.Amos-Sporn+765/345/34.Amos.T5
FRUITLAN69 KV   FRT-LOR,FRUITLAN_69 KV_FRT-LOR:ACTUAL,LORETTO 69KV - FRUITLAN 69KV (FRUITLAN 69 KV FRT-LOR) BASE
ALTAVSTA 138 KV ALTAVSTA TX3 XFORMER,ALTAVSTA_138 KV_TX3:L500.Carson-Midlothian.563,ALTAVSTA 115KV - ALTAVSTA 138KV (ALTAVSTA 138 KV TX3) L500.Carson-Midlothian.563
BIGPINET_138KVBIG-KIS_1_LN,BIGPINET_138 KV_BIG-KIS:ACTUAL,KISKIVAL 138KV - BIGPINET 138KV (BIGPINET 138 KV BIG-KIS) L345.Ashtabula-ErieWest & Seneca#1 Pump
BAKRSPDP 115 KV BAKRSPDP-NBOHEMDP 106AB,BAKRSPDP_115 KV_106AB:L230.Carson-Poe.2002 (Sctnlz),BAKRSPDP 115KV - NBOHEMDP 115KV (BAKRSPDP 115 KV 106AB) L230.Carson-Poe.2002 (Sctnlz)
BELMON  138 KV  BEL-CHA,BELMON_138 KV_BEL-CHA:L500.Cabot-Keystone.5002,BELMON 138KV - CHARLERO 138KV (BELMON 138 KV BEL-CHA) L500.Cabot-Keystone.5002
HOMERCIT_230KVHOM-SHE_1_LN,HOMERCIT_230 KV_HOM-SHE:L345.HandsomeLake-Armstrong,SHELOCTA 230KV - HOMERCIT 230KV (HOMERCIT 230 KV HOM-SHE) L345.HandsomeLake-Armstrong
HAVILAND69 KV   HAV-NVA,HAVILAND_69 KV_HAV-NVA:L345.EastLima-MaddoxCreek,HAVILAND 69KV - NVANWERT 69KV (HAVILAND 69 KV HAV-NVA) L345.EastLima-MaddoxCreek
LOGANSFE_138KVLOG-UNI_1_LN,LOGANSFE138 KV LOG-UNI Arsenal-Brunot-Collier 345 KV LINE T1 XFMR (DUQ),LOGANSFE 138KV - UNIVERSA 138KV (LOGANSFE 138 KV LOG-UNI) L500.Cabot-Cranberry
OTTER_138KVOTT-ALT1_1_LN,OTTER_138 KV_OTT-ALT1:L765.Cloverdale-Joshua Falls,ALTAVSTA 138KV - OTTER 138KV (OTTER 138 KV OTT-ALT1) L765.Cloverdale-JoshuaFalls
BLANCO  69 KV   BLA-NEWM,BLANCO_69 KV_BLA-NEWM:ACTUAL,BLANCO 69KV - NEWMERED 69KV (BLANCO 69 KV BLA-NEWM) L230.CedarCreek-SilverRun.23030
